2630,5548964,5699763
7557,2330814,2445682
8180,5167995,5258604
9901,8125905,8303499
2087,8890938,9159736
6865,6100374,6276772
8438,7530760,7797470
5242,3291466,3550937
11273,346555,582044
6611,678249,819635
12172,595917,785016
11132,348688,612809
4763,7514365,7807628
5296,491920,623359
19624,4967677,5040317
17856,9487681,9678378
1868,2048397,2210917
1129,8310252,8513587
9427,2537551,2801798
8292,1863647,2099991
3547,3506911,3567657
8408,4648306,4738941
9691,1987568,2086095
6293,7429105,7674456
430,4805468,4939590
832,5406123,5518925
16383,1705579,1998459
13813,1462581,1558042
9392,3334134,3547832
1970,6137805,6433585
3736,403414,701075
13871,8562611,8639384
17290,492694,592147
1466,7593982,7685328
2492,7764467,7838185
15961,2948014,3178491
8233,4587060,4790105
7596,2459519,2675025
9164,995139,1074385
14291,3267922,3394229
369,3109863,3383078
15417,6545914,6736428
5548,7997555,8124987
389,1704130,1833672
15950,6273383,6365926
5687,6931765,7129745
8400,3775953,3952756
7464,4894193,5020215
2859,3008342,3186062
11318,7298857,7360480
906,6696283,6962405
9423,9547701,9606615
15256,476808,687357
8933,9438865,9557706
5881,6533284,6791626
8700,5576543,5839197
250,7268416,7399241
9930,6121851,6333085
17219,7539975,7776788
19299,8946183,9125645
14861,9369284,9550514
16752,4981141,5149145
7701,2282362,2503614
11016,7562777,7773117
19057,15994,287508
2867,792792,978397
13293,3220101,3473774
6995,485354,674815
8683,7929235,8039979
10350,3619616,3857168
11692,3052118,3314369
4978,4594425,4681034
14640,9018949,9282501
364,3280459,3412671
1816,7227280,7381858
17182,4535876,4673981
214,4126777,4309066
15226,3217253,3456481
17389,8682219,8805953
3093,6952037,7163477
3057,4954111,5152250
12510,7277519,7350399
10344,8159445,8216323
17301,5024532,5177918
14599,3289922,3533682
862,3231334,3328661
11370,7285963,7448558
4052,1231944,1478544
16775,752512,1043805
17374,6373914,6489509
14624,363826,517048
627,1270510,1438116
7026,2397003,2551931
4255,3016284,3223687
15785,1422696,1525525
13727,6970987,7031353
11347,6705610,6998068
4032,5513989,5706565
5582,8066230,8227068
6925,7277746,7363697
13436,2566545,2752096
15953,486785,578553
6410,7349030,7549488
18659,2240078,2396754
2187,6997044,7245047
2548,932833,1223724
2256,9636184,9846314
5628,1978155,2145541
10567,9055158,9141274
5257,1543706,1740853
11772,6530359,6640246
5352,2362809,2529583
7927,3721607,3822252
19826,3255702,3539414
339,719062,777353
1980,6474098,6526482
992,7500230,7575811
2153,2795034,2958764
577,5142097,5363284
19708,2612559,2877471
2016,2109503,2175819
1472,5198657,5266716
16791,5073317,5242391
9529,4544324,4816469
11763,7522120,7590783
19466,4558296,4613612
19445,8681925,8897291
1476,1293789,1408620
19973,2576296,2824419
15335,8246202,8400432
8050,9475095,9547883
19374,6833103,6911352
19750,9374178,9530287
7430,2205790,2273717
14519,6215904,6320510
11114,7610117,7660151
428,713880,938621
16082,9427024,9556958
16463,3618848,3775696
8510,3506919,3666702
11202,7367921,7496340
17116,248121,385907
4467,7709988,7943375
13219,1186570,1378489
3154,9674353,9913284
4307,3599839,3853839
16617,592191,726887
10910,5381326,5586765
7975,5814922,5914704
9304,490980,565266
4266,2944577,3114679
15938,3213148,3402057
7967,6287022,6545329
3916,8318975,8591029
8273,5147843,5264612
15773,7536877,7672269
14423,7571903,7741676
8590,8315104,8373926
1542,5744555,5829307
19853,3478959,3640651
10218,7252665,7379725
3340,8694929,8777466
12060,8149518,8285320
4933,5035654,5325407
18108,8630853,8747080
294,7563251,7849593
11223,9070732,9126209
18036,4469331,4596798
14264,8913725,9038205
15624,6461747,6627361
15444,2639956,2792095
1691,2508234,2652345
19330,6085054,6200165
8796,5017988,5255266
17721,3044806,3137410
15448,1758931,1817929
4270,2761459,3022511
17690,6690887,6916328
9989,7010656,7233579
3285,7775238,7999227
3164,2727508,2965126
18328,780840,943050
13979,3142795,3335824
632,1007782,1269676
9452,9137787,9194546
8404,3330493,3387097
17727,4154095,4308914
10188,4960926,5095893
1313,7546164,7811540
5288,5728730,5896863
8905,937791,1198442
3069,8157202,8365867
9219,1903271,2002472
19059,3197894,3359752
16569,1623071,1710646
11181,3421060,3499579
14071,6530536,6598650
6825,2853205,3034452
12080,7291627,7421028
13958,8183832,8260116
5449,4733050,4898891
18500,5835343,6017366
6903,4456268,4631308
5255,5812131,6100564
16335,5456818,5696856
15383,6063039,6245543
5825,7926716,8208305
7587,8987114,9082569
2090,6586636,6662016
12503,8980998,9098362
1522,7264162,7339196
11799,6030068,6254575
14389,8610569,8816297
18063,5614313,5817170
5400,6400089,6609407
13188,856768,1146051
17949,6519168,6646965
11888,656023,870358
7819,5535057,5678072
19264,2807721,2962164
15015,432843,721085
9393,4476438,4750710
10838,1668255,1851525
4104,9285015,9372752
13838,3574921,3781702
13674,5600143,5819770
14546,1570304,1794536
8641,5374006,5642930
17152,4552249,4690885
15358,9684037,9789429
14176,9442416,9720100
5415,268575,348504
17813,8073912,8244651
7254,97426,199742
4107,6167719,6460251
13388,2646855,2906668
4746,9620876,9725466
18879,6069973,6271881
10779,4745353,4817208
17070,5764163,6028462
6092,4597475,4809080
10789,6144961,6282469
7167,9486891,9573474
9055,6086074,6246330
8385,2169861,2436162
8598,7071268,7155060
16388,4268164,4329742
3324,4784489,4877483
11682,3664613,3932207
8129,122546,235948
18434,1883090,2180879
11125,3482649,3715149
15903,5733015,5803287
15473,7431774,7718862
6532,6284222,6388178
11189,3634638,3821399
16062,5202790,5458091
6834,1353320,1642271
10825,4244006,4327785
4381,4761907,4976520
15457,9502693,9786195
11936,4463289,4750524
10710,5770936,6037146
3460,6654858,6800557
11413,667543,928342
300,2420636,2476070
16746,8381942,8651177
18740,1219930,1273486
11929,4592230,4790885
5254,6008056,6291691
3546,7378488,7517048
10466,8235007,8307727
10016,1162928,1239154
9150,8351734,8626989
9929,8263737,8374120
1016,4115631,4345825
9068,3008201,3152243
15562,5345846,5546131
6495,7324057,7477744
13996,8524714,8684117
17457,2191882,2322064
1278,1303906,1522494
19315,4292826,4472992
19247,2659273,2830348
4631,5952949,6225830
9472,9081928,9358637
13143,7215159,7450671
7814,9324197,9405981
6786,169810,306261
4240,2509426,2762889
14129,5704363,5996025
14654,8946421,9155548
19550,3127504,3349465
8558,842869,1085789
14875,8673433,8966443
8367,2123557,2352692
15701,3153266,3255068
5692,7653258,7820993
16739,9842043,9913014
9724,1614216,1827469
17491,4745724,4890121
16064,403485,530754
